GHID,YEAR,SEASON,REP,PLOTNO,FL,MAT,PLTHGT,TILLER,LDG,Plot_Yld,Kg_ha
M1379,2012,2,1,790,95,125,123,14,0,2032,3493
M1379,2012,2,2,802,94,124,111,14,0,2268,3820
M1379,2012,2,3,878,95,125,118,11,0,1927,3286
M1422,2012,2,1,640,94,124,110,13,0,3039,5177
M1422,2012,2,2,662,93,123,102,14,0,2731,4636
M1422,2012,2,3,732,94,124,115,9,0,2652,4569
M1421,2012,2,1,186,87,117,118,10,0,2202,3717
M1421,2012,2,2,229,86,116,124,11,0,2093,3610
M1421,2012,2,3,275,86,116,118,12,0,2641,4514
M1410,2012,2,1,773,96,126,138,18,0,2388,4036
M1410,2012,2,2,847,96,126,117,11,0,2619,4502
M1410,2012,2,3,877,98,128,123,17,0,2556,4354
B1037,2012,2,1,164,91,121,150,13,9,2482,4146
B1037,2012,2,2,241,94,124,136,12,7,2686,4524
B1037,2012,2,3,270,94,124,147,16,7,3048,5121
B1035,2012,2,1,332,89,119,123,10,0,3159,5345
B1035,2012,2,2,386,89,119,134,10,9,2751,4670
B1035,2012,2,3,421,87,117,126,11,0,3135,5328
B1034,2012,2,1,154,86,116,135,14,7,3039,5112
B1034,2012,2,2,240,88,118,132,13,3,2938,4988
B1034,2012,2,3,280,88,118,128,11,0,2965,5011
B1227,2012,2,1,1378,100,130,126,15,0,2805,4844
B1227,2012,2,2,1449,95,125,115,13,0,3123,5326
B1227,2012,2,3,1472,97,127,117,14,0,2867,4789
B1085,2012,2,1,784,94,124,119,18,0,2279,3971
B1085,2012,2,2,833,94,124,117,17,0,2854,4779
B1085,2012,2,3,881,94,124,116,14,0,2445,4175
B1032,2012,2,1,462,88,118,117,15,0,2505,4209
B1032,2012,2,2,524,89,119,126,12,0,2388,4086
B1032,2012,2,3,599,92,122,150,16,0,2488,4229
B1028,2012,2,1,156,87,117,153,12,9,1627,2715
B1028,2012,2,2,201,89,119,145,15,9,1587,2667
B1028,2012,2,3,288,90,120,152,14,7,2037,3450
B1165,2012,2,1,779,95,125,125,18,0,2759,4748
B1165,2012,2,2,806,95,125,131,10,5,2306,3852
B1165,2012,2,3,882,94,124,133,9,0,2424,4261
